NAME,B01003_001E,B19013_001E,B25064_001E,B25077_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B23025_003E,B23025_005E,state,county,tract
"Census Tract 4352, Alameda County, California",4453,97833,1234,452900,651,235,54,34,2537,317,06,001,435200
"Census Tract 4364.02, Alameda County, California",2872,118011,2223,562700,436,272,88,45,1525,121,06,001,436402
"Census Tract 4369, Alameda County, California",6577,56334,1239,343700,344,159,8,11,3208,352,06,001,436900
"Census Tract 4370, Alameda County, California",3340,69318,1662,373100,566,102,10,5,1857,209,06,001,437000
"Census Tract 4383, Alameda County, California",4174,69914,1784,325700,446,69,14,0,2087,249,06,001,438300
"Census Tract 4403.04, Alameda County, California",5156,86071,1729,424800,788,132,20,26,2669,256,06,001,440304
"Census Tract 4414.02, Alameda County, California",5204,118871,2120,635900,1139,675,90,70,2541,141,06,001,441402
"Census Tract 4415.22, Alameda County, California",5368,94861,1974,560400,893,380,144,84,2776,160,06,001,441522
"Census Tract 4418, Alameda County, California",6991,99391,1661,563000,1177,754,93,329,3739,195,06,001,441800
"Census Tract 4419.21, Alameda County, California",3767,106821,1954,510700,785,449,25,52,2273,144,06,001,441921
"Census Tract 4420, Alameda County, California",3228,158000,-666666666,1127300,593,831,139,126,1685,105,06,001,442000
"Census Tract 4421, Alameda County, California",5245,151250,2189,914100,1204,1038,103,181,2448,107,06,001,442100
"Census Tract 4422, Alameda County, California",6906,147375,1994,960000,1295,1285,164,297,3188,183,06,001,442200
"Census Tract 4403.31, Alameda County, California",3596,70152,1539,457400,433,69,17,17,1894,188,06,001,440331
"Census Tract 4413.02, Alameda County, California",5698,101096,1689,641600,1131,636,93,98,2913,206,06,001,441302
"Census Tract 4060, Alameda County, California",3472,25302,945,386700,529,221,15,16,1804,195,06,001,406000
"Census Tract 4061, Alameda County, California",4905,50573,1261,279700,445,280,21,22,2696,273,06,001,406100
"Census Tract 4065, Alameda County, California",6352,42462,1086,282200,588,290,32,25,3279,448,06,001,406500
"Census Tract 4201, Alameda County, California",2487,117083,2193,806800,592,382,148,115,1365,109,06,001,420100
"Census Tract 4229, Alameda County, California",4525,24702,1364,-666666666,825,321,42,159,2294,191,06,001,422900
"Census Tract 4368, Alameda County, California",4260,60904,1343,355700,582,102,32,11,2241,263,06,001,436800
"Census Tract 4364.01, Alameda County, California",7826,75263,1360,395800,1060,500,56,45,4322,430,06,001,436401
"Census Tract 4104, Alameda County, California",4344,62963,1429,245400,439,146,40,0,2273,362,06,001,410400
"Census Tract 4240.01, Alameda County, California",4125,46359,1301,636900,778,380,26,111,2699,270,06,001,424001
"Census Tract 4327, Alameda County, California",2548,81932,1469,447900,368,246,24,43,1324,79,06,001,432700
"Census Tract 4240.02, Alameda County, California",2277,41895,1136,389800,391,173,19,72,1074,85,06,001,424002
"Census Tract 4309, Alameda County, California",5021,57908,1346,387000,559,215,20,30,2394,264,06,001,430900
"Census Tract 4310, Alameda County, California",2940,61724,1423,393500,270,85,0,8,1499,127,06,001,431000
"Census Tract 4328, Alameda County, California",3296,88125,1240,639300,588,291,173,37,1654,121,06,001,432800
"Census Tract 4331.02, Alameda County, California",3842,68952,1319,408400,657,160,5,13,2154,113,06,001,433102
"Census Tract 4337, Alameda County, California",3352,59632,1179,333300,240,38,13,16,1789,141,06,001,433700
"Census Tract 4073, Alameda County, California",2513,51042,1440,238100,230,82,0,43,1484,142,06,001,407300
"Census Tract 4215, Alameda County, California",3736,138929,2026,908000,930,749,379,356,1989,86,06,001,421500
"Census Tract 4354, Alameda County, California",4303,52702,1279,312600,789,246,45,15,2412,235,06,001,435400
"Census Tract 4360, Alameda County, California",4298,76536,1667,388300,597,193,9,26,2228,206,06,001,436000
"Census Tract 4366.01, Alameda County, California",6273,60773,1243,340000,505,139,12,10,3340,282,06,001,436601
"Census Tract 4372, Alameda County, California",7736,77130,1685,420800,1091,264,93,65,3845,305,06,001,437200
"Census Tract 4403.05, Alameda County, California",4100,98750,2148,550100,668,188,17,10,1956,186,06,001,440305
"Census Tract 4384, Alameda County, California",2496,77750,1058,350300,280,39,6,6,1274,77,06,001,438400
"Census Tract 4403.06, Alameda County, California",4154,79688,1891,372600,722,182,23,8,2032,247,06,001,440306
"Census Tract 4403.32, Alameda County, California",3529,159545,2805,735600,779,397,80,66,1846,89,06,001,440332
"Census Tract 4415.21, Alameda County, California",6140,120688,2276,649100,1088,813,45,204,3175,120,06,001,441521
"Census Tract 4429, Alameda County, California",7670,96875,2001,578300,1259,506,145,52,4038,137,06,001,442900
"Census Tract 4430.02, Alameda County, California",6294,81000,1803,534600,715,436,62,107,3249,273,06,001,443002
"Census Tract 4431.03, Alameda County, California",4116,207460,3501,1232600,934,1131,169,152,1900,152,06,001,443103
"Census Tract 4504, Alameda County, California",6025,85870,1474,492200,1265,253,100,30,3356,273,06,001,450400
"Census Tract 4506.03, Alameda County, California",4888,119625,2395,640300,981,558,72,70,2604,170,06,001,450603
"Census Tract 4506.06, Alameda County, California",5974,149779,1896,843800,1500,864,138,239,3326,265,06,001,450606
"Census Tract 4511.02, Alameda County, California",3983,151522,-666666666,897600,1043,473,48,151,1838,34,06,001,451102
"Census Tract 4512.02, Alameda County, California",4306,106914,2139,479200,775,246,41,30,2736,209,06,001,451202
"Census Tract 4227, Alameda County, California",4769,27090,1378,907600,303,224,53,32,2151,363,06,001,422700
"Census Tract 4224, Alameda County, California",4169,54554,1433,731300,812,562,172,465,2767,124,06,001,422400
"Census Tract 4225, Alameda County, California",4234,54063,1487,796400,764,449,179,210,2149,161,06,001,422500
"Census Tract 4226, Alameda County, California",1414,250001,-666666666,2000001,123,56,10,10,497,59,06,001,422600
"Census Tract 4231, Alameda County, California",4084,56111,1259,584100,856,613,164,102,2308,60,06,001,423100
"Census Tract 4261, Alameda County, California",6214,216771,2756,1643100,1549,1093,834,209,2902,122,06,001,426100
"Census Tract 4415.03, Alameda County, California",6384,148438,2330,639600,1688,1445,160,138,3445,191,06,001,441503
"Census Tract 4506.05, Alameda County, California",3982,122198,1860,674300,1075,386,107,108,1941,122,06,001,450605
"Census Tract 4334, Alameda County, California",6593,73051,1873,426000,1234,412,95,78,3589,373,06,001,433400
"Census Tract 4412, Alameda County, California",7391,112458,1671,623100,1540,741,124,75,4026,182,06,001,441200
"Census Tract 4444, Alameda County, California",4902,78922,1664,389500,650,160,8,25,2911,222,06,001,444400
"Census Tract 4362, Alameda County, California",4031,43516,1146,294100,252,46,10,0,1731,228,06,001,436200
"Census Tract 4379, Alameda County, California",2288,59063,1334,350500,198,21,0,12,1293,171,06,001,437900
"Census Tract 4417, Alameda County, California",7264,91827,1467,458200,967,623,67,56,4240,329,06,001,441700
"Census Tract 4035.01, Alameda County, California",4562,40000,1023,413000,913,393,190,244,2377,149,06,001,403501
"Census Tract 4035.02, Alameda County, California",2195,61000,1377,358100,590,384,108,65,1671,157,06,001,403502
"Census Tract 4037.01, Alameda County, California",2812,64044,1261,281800,822,554,123,97,1833,30,06,001,403701
"Census Tract 4037.02, Alameda County, California",1918,72214,1570,376700,629,443,66,79,1517,53,06,001,403702
"Census Tract 4041.02, Alameda County, California",2522,65139,1223,468800,690,537,82,66,1480,123,06,001,404102
"Census Tract 4041.01, Alameda County, California",2986,70845,1411,564000,1058,443,120,183,2043,166,06,001,404101
"Census Tract 4053.01, Alameda County, California",2777,58689,1269,553300,770,416,63,82,1978,130,06,001,405301
"Census Tract 4053.02, Alameda County, California",2532,34567,929,345800,574,209,35,7,1446,186,06,001,405302
"Census Tract 4054.01, Alameda County, California",4138,34676,965,428400,301,131,20,37,2404,309,06,001,405401
"Census Tract 4066.02, Alameda County, California",2891,51332,974,394100,333,84,20,6,1573,133,06,001,406602
"Census Tract 4054.02, Alameda County, California",3055,29913,1075,311800,297,89,0,14,1841,319,06,001,405402
"Census Tract 4059.01, Alameda County, California",4052,32643,1000,323000,94,62,0,0,1867,335,06,001,405901
"Census Tract 4066.01, Alameda County, California",4995,50147,1336,339600,380,169,15,18,2382,368,06,001,406601
"Census Tract 4059.02, Alameda County, California",3471,34408,961,289200,254,35,6,1,1696,228,06,001,405902
"Census Tract 4071.01, Alameda County, California",3755,34583,995,271700,375,20,31,12,1725,182,06,001,407101
"Census Tract 4071.02, Alameda County, California",4065,45051,1046,307000,420,75,50,45,2171,273,06,001,407102
"Census Tract 4105, Alameda County, California",2321,22869,561,570900,186,55,0,5,1077,253,06,001,410500
"Census Tract 4251.01, Alameda County, California",1582,73646,1486,231100,435,426,82,176,980,49,06,001,425101
"Census Tract 4028, Alameda County, California",3520,17278,761,517600,640,201,100,39,1831,272,06,001,402800
"Census Tract 4044, Alameda County, California",5292,143664,2028,804600,1523,974,533,257,3438,40,06,001,404400
"Census Tract 4009, Alameda County, California",2175,57003,1408,483300,428,189,31,11,1295,69,06,001,400900
"Census Tract 4026, Alameda County, California",1234,20270,677,318300,193,35,5,26,612,102,06,001,402600
"Census Tract 4042, Alameda County, California",3634,156613,2104,1005400,769,641,282,234,1830,130,06,001,404200
"Census Tract 4055, Alameda County, California",4047,47059,1127,297200,667,292,17,53,2373,173,06,001,405500
"Census Tract 4056, Alameda County, California",3205,49295,1074,364600,589,364,29,43,1972,200,06,001,405600
"Census Tract 4273, Alameda County, California",5125,74773,1145,595500,1007,471,104,53,2892,231,06,001,427300
"Census Tract 4276, Alameda County, California",5539,41618,1376,388200,751,306,43,31,2678,320,06,001,427600
"Census Tract 4279, Alameda County, California",4789,78729,1384,692400,1176,579,126,55,2991,218,06,001,427900
"Census Tract 4283.02, Alameda County, California",7031,128438,1992,797800,1978,962,297,291,3570,174,06,001,428302
"Census Tract 4286, Alameda County, California",3140,71953,1750,501000,828,236,80,56,1708,116,06,001,428600
"Census Tract 4308, Alameda County, California",6091,80625,1282,490100,769,157,225,29,3218,156,06,001,430800
"Census Tract 4336, Alameda County, California",5848,58077,1211,362600,578,225,30,0,2994,311,06,001,433600
"Census Tract 4374, Alameda County, California",3340,70664,1942,350200,306,60,4,3,1767,206,06,001,437400
"Census Tract 4382.01, Alameda County, California",4861,63715,1174,254200,363,91,12,0,2522,292,06,001,438201
"Census Tract 4230, Alameda County, California",4730,74167,1449,610400,1231,1125,144,447,3032,101,06,001,423000
"Census Tract 4281, Alameda County, California",4924,83565,1355,676500,1056,305,159,156,2848,253,06,001,428100
"Census Tract 4284, Alameda County, California",4403,68301,1371,481400,766,380,146,148,2617,222,06,001,428400
"Census Tract 4302, Alameda County, California",6659,109890,2321,603100,1344,414,199,87,3287,166,06,001,430200
"Census Tract 4322, Alameda County, California",4042,61094,1398,475900,507,220,54,22,2094,110,06,001,432200
"Census Tract 4324, Alameda County, California",6076,52255,1334,375500,599,140,21,1,3145,450,06,001,432400
"Census Tract 4338, Alameda County, California",8137,49929,1268,320600,1069,95,0,32,3741,286,06,001,433800
"Census Tract 4340, Alameda County, California",5519,41618,1174,308900,299,114,0,0,2588,440,06,001,434000
"Census Tract 4351.02, Alameda County, California",5419,115123,1748,547100,1253,424,80,100,2934,219,06,001,435102
"Census Tract 4355, Alameda County, California",3544,50625,1216,353300,371,115,15,11,1794,147,06,001,435500
"Census Tract 4380, Alameda County, California",3506,72898,1667,497000,664,130,18,58,1942,223,06,001,438000
"Census Tract 4403.07, Alameda County, California",4007,47917,1203,284700,624,162,51,20,1802,119,06,001,440307
"Census Tract 4414.01, Alameda County, California",7569,105345,1595,514000,1345,642,62,116,4037,164,06,001,441401
"Census Tract 4416.01, Alameda County, California",4799,99708,1861,560800,652,337,28,97,2489,202,06,001,441601
"Census Tract 4507.43, Alameda County, California",5609,98750,1937,529300,1404,765,40,78,2697,31,06,001,450743
"Census Tract 4507.46, Alameda County, California",3479,90855,1750,636500,744,296,73,51,1758,171,06,001,450746
"Census Tract 4507.50, Alameda County, California",4312,96273,1664,429000,1238,479,71,120,2504,79,06,001,450750
"Census Tract 4507.51, Alameda County, California",5684,179148,3234,839400,1454,1142,196,178,2981,130,06,001,450751
"Census Tract 4507.52, Alameda County, California",5644,168616,1974,897900,1118,588,129,135,2651,45,06,001,450752
