,fold_0,fold_1,fold_2,fold_3,fold_4,mean_gain
geo_cluster_50__bedroomcnt__median,7.636497974395752,8.16141414642334,6.869327068328857,7.269100666046143,7.667848110198975,7.520837593078613
unitcnt,7.51409912109375,7.318161487579346,7.758634090423584,8.029396057128906,6.928000450134277,7.509658241271973
regionidcity__bedroomcnt__median,7.275352954864502,7.475618839263916,7.266966342926025,7.813201904296875,7.517533779144287,7.469734764099121
bedroomcnt,7.310390472412109,7.6454997062683105,7.386385917663574,7.645838737487793,7.359817028045654,7.469586372375488
propertycountylandusecode__bathroomcnt__mean,7.254415512084961,7.446733474731445,7.394309997558594,7.403769493103027,7.714574813842773,7.44276065826416
trans_month,7.512723445892334,7.410118103027344,7.3623738288879395,7.449925422668457,7.421713352203369,7.431370830535888
regionidzip__bedroomcnt__median,7.337839603424072,7.436856746673584,7.396195888519287,7.564740180969238,7.335971832275391,7.414320850372315
propertycountylandusecode,7.330664157867432,7.140676021575928,7.2475690841674805,7.674683094024658,7.518754959106445,7.3824694633483885
pooltypeid7,7.209074020385742,7.036912441253662,7.450137615203857,7.416993618011475,7.663251876831055,7.355273914337158
censustractandblock__isna,5.512075901031494,5.338625907897949,9.836320877075195,7.927748203277588,8.109641075134277,7.344882392883301
geo_cluster_50__calculatedfinishedsquarefeet__mean,7.421079635620117,6.942224979400635,7.359525680541992,7.3249359130859375,7.362668991088867,7.28208703994751
regionidcity__taxvaluedollarcnt__mean,7.325464725494385,7.15382194519043,7.3423871994018555,7.2730631828308105,7.310294151306152,7.281006240844727
geo_grid,7.40372371673584,6.942335605621338,7.068337917327881,7.703872203826904,7.1860198974609375,7.26085786819458
te_propertycountylandusecode,7.246413707733154,7.1302571296691895,7.039052963256836,7.344857692718506,7.543172359466553,7.260750770568848
heatingorsystemtypeid__isna,7.691910743713379,6.429447650909424,7.758355617523193,6.768062591552734,7.640140056610107,7.257583332061768
effective_tax_rate,6.803952693939209,6.952847480773926,7.339433193206787,7.491750240325928,7.608575344085693,7.239311790466308
finishedsquarefeet50,7.140832424163818,7.059549331665039,7.422889232635498,6.814334869384766,7.72822380065918,7.23316593170166
z,7.160887241363525,7.109648704528809,6.905819416046143,7.723611354827881,7.253460884094238,7.230685520172119
regionidzip,7.243471622467041,7.1111159324646,7.075917720794678,7.418844223022461,7.28828239440918,7.227526378631592
age_x_sqft,7.053711414337158,7.064934730529785,7.136363506317139,7.310995101928711,7.323395252227783,7.177880001068115
tax_per_sqft,7.172060489654541,7.0730695724487305,7.019874572753906,7.311399459838867,7.208064079284668,7.156893634796143
