,lgbm_gain,xgb_gain,cat_pvc,lgbm_gain_norm,xgb_gain_norm,cat_pvc_norm,consensus
finishedsquarefeet6,579.2359660625458,6.783438396453858,0.2696040361043239,0.0008113493706128847,0.005166047212126244,0.0026960403610432385,0.0028911456479274555
non_null_count,606.718694114685,7.732592964172364,0.1912831349399951,0.0008498450708357201,0.005888892622059116,0.0019128313493999508,0.002883856347431596
trans_year,143.0501244544983,8.830395698547363,0.1709353665421082,0.00020037365640675615,0.006724943666371289,0.0017093536654210818,0.0028782236627330426
data_quality_score,160.59158058166503,7.371802520751953,0.2503591860001358,0.00022494438443864336,0.005614126293324096,0.0025035918600013573,0.002780887512588032
hashottuborspa__isna,110.276762008667,9.566641235351565,0.0862680416039683,0.0001544672407985411,0.007285644446794983,0.0008626804160396828,0.0027675973678777353
regionidzip__bedroomcnt__median,436.45104732513425,8.07033052444458,0.1299659677664274,0.0006113471940593289,0.0061461026208388956,0.001299659677664274,0.0026857031641874993
roomcnt,834.5053935527801,7.241032791137696,0.1119310550376423,0.0011689112304863252,0.005514536298159196,0.0011193105503764227,0.0026009193596739813
poolsizesum,1114.3851189613342,7.006516551971435,0.0855376568736592,0.00156094531048511,0.005335936317922545,0.0008553765687365919,0.0025840860657147494
regionidcity__bathroomcnt__median,242.57939348220825,8.724660205841065,0.074669906525731,0.0003397866323172908,0.006644418936080567,0.0007466990652573098,0.0025769682112183894
regionidzip__bathroomcnt__median,427.59928159713746,7.909401702880859,0.0999081096094105,0.0005989483186907241,0.0060235444370091975,0.0009990810960941049,0.0025405246172646753
regionidcity__bedroomcnt__median,226.83387031555176,8.54376153945923,0.075645118660241,0.0003177315096043861,0.0065066523645395365,0.0007564511866024098,0.0025269450202487775
geo_cluster_50__bedroomcnt__median,114.36208791732788,8.862977123260498,0.0554611365515479,0.00016018965238715887,0.006749756625297012,0.0005546113655154789,0.00248818588106655
geo_cluster_50__bathroomcnt__median,205.08743467330933,7.988732242584229,0.1025825851279534,0.0002872707683777237,0.006083960009395806,0.0010258258512795338,0.002465685543017688
pooltypeid7__isna,41.39712390899658,8.993379878997803,0.0222376321051455,5.798592006823209e-05,0.006849067145030258,0.00022237632105145497,0.002376476462049982
typeconstructiontypeid,31.941084003448488,9.08734874725342,0.0034418828739592,4.474062372033865e-05,0.006920630794835402,3.4418828739591995e-05,0.002333263415765111
censustractandblock__isna,18.62880229949951,8.969015789031982,0.0109411258347985,2.609379925717308e-05,0.006830512242385351,0.00010941125834798499,0.002322005766663503
fireplaceflag__isna,17.08573799133301,8.987346172332764,0.0095097169101535,2.3932392976143025e-05,0.0068444720692480395,9.5097169101535e-05,0.0023211672104419055
fireplacecnt,675.2139374256134,7.016881275177002,0.0498053598228123,0.0009457879607913782,0.005343829755776801,0.0004980535982281229,0.002262557104932101
garagecarcnt,586.4106198787689,6.715208625793457,0.083900990459339,0.0008213990760856443,0.005114085626289709,0.0008390099045933899,0.0022581648689895813
pooltypeid7,271.98054962158204,7.822945022583008,0.0404348868538272,0.0003809695196492495,0.005957701826504193,0.0004043488685382719,0.0022476734048972385
airconditioningtypeid,758.6045474052429,6.47635669708252,0.061072982384677,0.0010625951393613139,0.004932183725172253,0.00061072982384677,0.0022018362294601124
unitcnt,149.41134824752808,7.215930080413818,0.0879339237680541,0.00020928397141341292,0.005495418885842207,0.0008793392376805409,0.0021946806983120536
pooltypeid10,78.95507593154908,8.358298778533936,0.0020602349686476,0.00011059422224627132,0.006365409926260416,2.0602349686475994e-05,0.002165535499397721
finishedsquarefeet12__isna,19.097329998016356,8.47562084197998,0.0,2.6750076967085344e-05,0.006454758613955904,0.0,0.00216050289697433
yardbuildingsqft17__isna,31.08222007751465,8.271436786651611,0.0051827824084599,4.353759292360583e-05,0.006299258643566083,5.182782408459899e-05,0.0021315413535247627
heatingorsystemtypeid__isna,42.78856773376465,7.465364742279053,0.0431196774012965,5.9934947990553576e-05,0.005685380254137403,0.0004311967740129649,0.0020588373253803073
basementsqft,295.23352432250977,6.560842990875244,0.0658447973517776,0.00041354050538537667,0.004996525753064618,0.000658447973517776,0.0020228380773225905
fireplacecnt__isna,61.97354612350464,7.410186004638672,0.0313558528199089,8.680779611072115e-05,0.005643357912797243,0.000313558528199089,0.002014574745702351
threequarterbathnbr,460.99997959136965,6.7908941268920895,0.0211198084820938,0.0006457334578799663,0.005171725255206126,0.00021119808482093796,0.00200955226596901
fireplaceflag,50.20559186935425,7.553417491912842,0.0062572948944124,7.032414724062465e-05,0.005752438379409607,6.257294894412399e-05,0.0019617784918647854
architecturalstyletypeid,117.21239862442016,7.059623432159424,0.0129377183534671,0.0001641821492860838,0.00537638079965961,0.000129377183534671,0.0018899800441601218
threequarterbathnbr__isna,50.3749942779541,7.1076127052307125,0.0172194054877537,7.056143315802391e-05,0.005412927877391088,0.00017219405487753697,0.0018852277884755496
decktypeid,63.3821496963501,7.033388328552246,0.0094149977387329,8.8780860093678e-05,0.005356400993560014,9.4149977387329e-05,0.0018464439436803402
yardbuildingsqft26,120.13592414855955,6.336923408508301,0.0451464734340315,0.0001682771998923251,0.004825995843803271,0.0004514647343403149,0.0018152459260119703
