,fold_0,fold_1,fold_2,fold_3,fold_4,mean_pvc
geo_cluster_50__calculatedfinishedsquarefeet__median,0.4095970387960539,0.38783080507754525,0.6321954480537262,0.3177592851059421,0.3705131956188135,0.42357915453041617
propertycountylandusecode__calculatedfinishedsquarefeet__median,0.6113248809816577,0.4566139634935519,0.4727611080596593,0.27149599390349466,0.30414364542003225,0.4232679183716791
te_propertycountylandusecode,0.49857573474357175,0.4579599609125658,0.4904739616049167,0.42997088884015966,0.234606715530329,0.4223174523263086
pooltypeid2,0.3014675325469529,0.5799323424021812,0.5936889995578484,0.3227477175991277,0.24938130165033257,0.40944357875128856
garagetotalsqft,0.7407690065006511,0.1313046743980253,0.23560838513158336,0.5756558352882997,0.34931711195153275,0.4065310026540184
dist_la_cbd_km,0.701941088496736,0.052910359223749155,0.3630464330991452,0.15942101948350182,0.7388305929962253,0.40322989865987147
pooltypeid2__isna,0.32962228743433625,0.39623595507044473,0.5498045228990712,0.5140049540401931,0.20901176149644266,0.3997358961880976
regionidzip__taxvaluedollarcnt__median,0.719752916386024,0.1835523435116007,0.224522012807792,0.06562849775414367,0.7953152821993741,0.39775421053178694
propertycountylandusecode__taxvaluedollarcnt__mean,0.6251140211666398,0.5862198494947437,0.19281379466889076,0.056805406706317944,0.516680121415603,0.39552663869043914
regionidzip__bedroomcnt__mean,0.3393898326985339,0.0,0.7285636221188913,0.3175347436752569,0.5756498241786886,0.39222760453427413
trans_qtr,0.572443676679919,0.4015883920618669,0.32573170455814854,0.2302023597822795,0.31626329428457745,0.3692458854733583
regionidzip__taxvaluedollarcnt__mean,0.32331980675677957,0.29057560874124044,0.3273235639081598,0.2088161018978333,0.6827353188198272,0.3665540800247681
geo_cluster_50,0.45171674064053174,0.22802853309793053,0.23368307534673496,0.3720827272022588,0.5212550211312005,0.3613532194837313
taxdelinquencyflag,0.36017421390427057,0.34667234686118475,0.5305845153736027,0.4161451989300103,0.1465562456761059,0.3600265041490348
te_regionidcity,0.5897676007965597,0.18148795690480737,0.6482999769292139,0.08445862843030616,0.28994336615849853,0.35879150584387715
regionidzip__calculatedfinishedsquarefeet__mean,0.6056363299088225,0.03619086009621304,0.07360910544719172,0.0,1.0182211623302295,0.34673149155649136
assessmentyear,0.5487143368495683,0.2515369216998424,0.21311431641287634,0.3820553129432094,0.3207887225342632,0.3432419220879519
propertycountylandusecode__lotsizesquarefeet__median,0.24375982610551866,0.20715845673725242,0.44342696767120454,0.4077095761490108,0.38254013648944596,0.3369189926304865
geo_cluster_50__lotsizesquarefeet__median,0.14586760426693698,0.25524987832787943,0.5184559574440896,0.4505318577990011,0.29113276122153137,0.33224761181188767
geo_cluster_50__bathroomcnt__mean,0.3814473335325004,0.3348718803713718,0.1927587427928811,0.1765753145532028,0.5386931193107939,0.32486927811215
regionidcity__taxvaluedollarcnt__mean,0.23040073026960048,0.27759487583103737,0.2300053295074312,0.399153674348539,0.33659087984693026,0.29474909796070764
missing_frac,0.224426987571634,0.47398747527810253,0.3309909026339979,0.22167021329910322,0.19841387530967447,0.2898978908185025
regionidzip__bathroomcnt__mean,0.46394959746945935,0.29411778511161707,0.09200474497574562,0.11456831382824084,0.48282962869238966,0.2894940140154905
dist_regionidzip_centroid_km,0.36772500000109487,0.08767316613646675,0.3042155750003848,0.04332022870900218,0.6266697554121705,0.28592074505182385
regionidzip__lotsizesquarefeet__median,0.3480207441433421,0.23006864017600126,0.12308473710176285,0.21293318547307638,0.4207533442417923,0.26697213022719496
regionidzip__lotsizesquarefeet__mean,0.4127285195754851,0.07573733699700692,0.183507917759774,0.2454652190451652,0.3370923013039357,0.2509062589362734
finishedsquarefeet6,0.25601906740530356,0.17196543187781976,0.029496167039861566,0.6811830288665899,0.11325470205421485,0.25038367944875795
y,0.2953249401041525,0.23019755442785386,0.1852802337759399,0.1676541660727878,0.3522142903333569,0.2461342369428182
hashottuborspa__isna,0.2658494434119375,0.29133696310948803,0.20760089130713671,0.18705787655573908,0.2684782248104515,0.2440646798389506
z,0.30256818713479144,0.2374034939793202,0.14129999427981194,0.17109365159456164,0.32320757217874374,0.2351145798334458
finishedsquarefeet15,0.05049456821781714,0.0,0.11820795505554252,0.3996764224656438,0.575247196728013,0.2287252284934033
fips,0.10880499876178851,0.040865723388905276,0.5462469005258385,0.366858641120013,0.06750336110780768,0.2260559249808706
regionidcity__lotsizesquarefeet__mean,0.4742606813453398,0.12752534516052932,0.13902028564926558,0.037440697330461556,0.3057459181663596,0.21679858553039116
geo_cluster_50__bedroomcnt__mean,0.22544158426594876,0.021340010896139232,0.20483889962326476,0.11701896930484793,0.4908634250471509,0.21190057782747035
lat,0.4181546248877549,0.17565864046905721,0.10824478429528127,0.10904425672379092,0.24198290105871958,0.2106170414869208
regionidzip__calculatedfinishedsquarefeet__median,0.16586404033022056,0.04305764960554459,0.14124413211039105,0.32742140061619984,0.35260669130284417,0.20603878279304003
regionidcity__bathroomcnt__mean,0.3522593574290602,0.0624302606461837,0.08001305010560615,0.105181761441835,0.42422909964266053,0.2048227058530691
pooltypeid7__isna,0.21316213088752436,0.10289860511869173,0.3139282596771092,0.23349705862280326,0.12137190395309894,0.1969715916518455
x,0.33396705600368987,0.12274955399526666,0.05728332477474887,0.261813312707366,0.20848207854134654,0.19685906520448362
regionidcity__lotsizesquarefeet__median,0.1157077223226887,0.0,0.0004274022774109564,0.3504140350908446,0.4616232659926926,0.18563448513672737
