number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_max_bin,params_max_depth,params_max_leaves,params_min_child_weight,params_num_parallel_tree,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
14,0.06059546396136284,2025-08-29 01:18:48.524334,2025-08-29 01:26:06.098244,0 days 00:07:17.573910,0.6658536276465391,0.5384691386230062,0.5793710210700729,0.00419524486306072,0.801767042251607,lossguide,358,7,100.0,1.909300702946982,,0.003758918442749687,0.01927707022562,0.5418190855684839,0.05793506279587746,0.06059546396136284,PRUNED
15,0.057985685765743256,2025-08-29 01:26:06.128394,2025-08-29 01:26:48.836133,0 days 00:00:42.707739,0.7334741335452677,0.7367064122866755,0.7463767942512971,0.024310645573863955,0.015991381818259803,lossguide,143,3,67.0,2.5512788284098846,,0.0046963808463148776,0.0025195990752962826,0.612327575862667,0.057985685765743256,,PRUNED
16,0.058286041021347046,2025-08-29 01:26:48.864553,2025-08-29 01:28:39.354265,0 days 00:01:50.489712,0.791328276507179,0.6984489476789549,0.8441505903094753,0.001092612494456452,0.0006417005518461952,lossguide,352,5,16.0,2.8625758161343957,,0.23472504924272825,0.009263945795324647,0.8909571929323817,0.058286041021347046,,PRUNED
17,0.059560514986515045,2025-08-29 01:28:39.382137,2025-08-29 01:33:02.220139,0 days 00:04:22.838002,0.5070366967165068,0.5532307379570542,0.8028898353599143,0.0035024015288682006,0.00020289185152315837,depthwise,205,8,,13.383414708678732,,0.23808598820366753,651.468287970504,0.8757504268977759,0.060613926500082016,,COMPLETE
18,0.058017950505018234,2025-08-29 01:33:02.244279,2025-08-29 01:33:51.295777,0 days 00:00:49.051498,0.5286093565404777,0.6269248233502466,0.8733735486154941,0.00905273269763051,0.005595783514757596,depthwise,260,9,,5.4185867487292665,,0.052030807999786884,50.831695097718445,0.8622874189940455,0.058017950505018234,,PRUNED
19,0.06058850511908531,2025-08-29 01:33:51.321932,2025-08-29 01:35:22.175218,0 days 00:01:30.853286,0.5993817056036049,0.5310187409130448,0.734855873956819,0.010982769777351308,1.5836861103865583e-05,depthwise,266,9,,32.99520677521652,,1.4342539600566566,137.431554129309,0.9016344400624786,0.05797600746154785,0.06058850511908531,PRUNED
20,0.058361466974020004,2025-08-29 01:35:22.203709,2025-08-29 01:36:39.122571,0 days 00:01:16.918862,0.7030621867566711,0.6576820025001241,0.8444358232086628,0.0010798152853820926,0.01591367561153859,depthwise,255,4,,1.0150641650893526,,1.0465102225031933,0.020529270644614687,0.6238475111463684,0.058361466974020004,,PRUNED
21,0.0580529123544693,2025-08-29 01:36:39.152485,2025-08-29 01:38:11.378727,0 days 00:01:32.226242,0.7650860455814812,0.6393177658109854,0.9672900587555912,0.002350789327415921,6.013328758969956e-05,depthwise,137,6,,79.37957249634351,,0.34370276015903795,686.0351987499738,0.9046506493562093,0.0580529123544693,,PRUNED
22,0.058032482862472534,2025-08-29 01:38:11.417126,2025-08-29 01:46:41.960725,0 days 00:08:30.543599,0.9329265353810923,0.8503965105677818,0.7408786943576255,0.001358445871256084,8.108985734296918e-05,lossguide,202,4,209.0,0.5323797925565902,,0.013312512271725764,0.001074001401321798,0.5332209254027742,0.058032482862472534,,PRUNED
23,0.058091260492801666,2025-08-29 01:46:42.003124,2025-08-29 01:50:26.161495,0 days 00:03:44.158371,0.6361727660760499,0.582693408448913,0.7472661500203274,0.0013747564972067048,0.2620182317239893,lossguide,318,3,73.0,1.7274873122256242,,0.0301405529213017,0.0019041926678501333,0.7024888322439364,0.058091260492801666,,PRUNED
24,0.06062285229563713,2025-08-29 01:50:26.198032,2025-08-29 02:00:25.905903,0 days 00:09:59.707871,0.6926682001402034,0.5969977428269962,0.8594863895587161,0.005521034219922815,5.640311025495202e-05,lossguide,259,9,355.0,0.7890446917297859,,0.006469863732035541,0.006681246350478878,0.6392865810766409,0.05797277018427849,0.06062285229563713,PRUNED
25,0.05809647589921951,2025-08-29 02:00:25.942780,2025-08-29 02:03:11.318398,0 days 00:02:45.375618,0.5364196899084948,0.5472339581757023,0.7560651431015115,0.001590145500082022,5.042039031817653e-05,lossguide,200,8,47.0,10.830057397505675,,0.5050844699939314,457.72762931355055,0.7844847384389472,0.05809647589921951,,PRUNED
26,0.05799295753240585,2025-08-29 02:03:11.351270,2025-08-29 02:07:22.573692,0 days 00:04:11.222422,0.6553303096552983,0.7728798577868727,0.5527500371785026,0.004130937180686094,0.0013461668366050261,lossguide,234,6,130.0,0.6814501950221813,,0.009904172522372445,0.017328295872384557,0.6306012992698724,0.05799295753240585,,PRUNED
27,0.058118633925914764,2025-08-29 02:07:22.607255,2025-08-29 02:07:33.099819,0 days 00:00:10.492564,0.6676408305298267,0.5306872427803501,0.5347889624405433,0.057000292466450234,1.6755314450833576,depthwise,289,10,,3.681728706445256,,1.8558493359598671,20.31606851374146,0.8155622234384955,0.058118633925914764,,PRUNED
28,0.05802459269762039,2025-08-29 02:07:33.125405,2025-08-29 02:09:28.988902,0 days 00:01:55.863497,0.8360139391259316,0.6084228811499603,0.736808875721779,0.0037130715693642715,0.00032738158137022325,lossguide,266,4,20.0,9.37401915691111,,0.06446425074312236,0.23711968133556147,0.6254455826892484,0.05802459269762039,,PRUNED
29,0.06061868742108345,2025-08-29 02:09:29.025605,2025-08-29 02:12:23.924671,0 days 00:02:54.899066,0.5176851726865336,0.6361310252457759,0.7850292142602417,0.00641884918022188,3.942817952973377e-05,depthwise,251,4,,7.31919874376852,,0.03245232481255161,924.2709990764673,0.912642443027432,0.06061868742108345,,PRUNED
30,0.060683127492666245,2025-08-29 02:12:23.961255,2025-08-29 02:13:27.771140,0 days 00:01:03.809885,0.7067562542841994,0.6491916959809764,0.6040840966924126,0.09826447647777903,0.07780885219079758,lossguide,180,11,323.0,89.03386844555642,,1.4691254333192993,1.9370604596245025,0.7283961840888571,0.060683127492666245,,PRUNED
31,0.060626089572906494,2025-08-29 02:13:27.796990,2025-08-29 02:16:47.305280,0 days 00:03:19.508290,0.5119758654416889,0.6551198544001804,0.7589179808783931,0.002304488509742061,0.005061662314023689,depthwise,147,8,,54.90639211160627,,0.22562606373274496,955.3023700473508,0.8836799147667541,0.060626089572906494,,PRUNED
32,0.060635678470134735,2025-08-29 02:16:47.339307,2025-08-29 02:18:09.122977,0 days 00:01:21.783670,0.6911587455419175,0.5832976627704289,0.6520965081513646,0.01110293701870213,0.2298373843065691,depthwise,257,12,,38.99839704494129,,0.22019235338791165,64.67479061631249,0.7248332511928215,0.057972852140665054,0.060635678470134735,PRUNED
33,0.058379899710416794,2025-08-29 02:18:09.152953,2025-08-29 02:19:28.675684,0 days 00:01:19.522731,0.8045701842016646,0.537215257412009,0.7211636252626586,0.0010157289961696232,3.273490059230538e-06,depthwise,326,4,,0.6421547833630252,,0.002097772017102607,0.009176483634087185,0.6843507449290962,0.058379899710416794,,PRUNED
34,0.05958575755357742,2025-08-29 02:19:28.714898,2025-08-29 02:20:53.259769,0 days 00:01:24.544871,0.6473509349272015,0.5351743314112775,0.5399469945518783,0.015596455511197361,4.32940579378481,depthwise,135,12,,16.040566005562017,,0.2216750211302225,2.8920206075954056,0.7567300134201337,0.060580167919397354,,COMPLETE
35,0.059557877480983734,2025-08-29 02:20:53.344034,2025-08-29 02:24:40.793038,0 days 00:03:47.449004,0.5141948076875344,0.5884574506074297,0.8929420386290583,0.004132614087531833,4.0420256982293426e-07,depthwise,137,10,,24.28960782464042,,0.11251173634138771,50.99224233948857,0.9418088904191753,0.0605861097574234,,COMPLETE
36,0.06067679077386856,2025-08-29 02:24:40.820005,2025-08-29 02:27:55.215699,0 days 00:03:14.395694,0.534887679087124,0.5949910693616824,0.7341228114087779,0.0031057861559986625,4.624837167524529e-08,depthwise,172,10,,7.113743375819003,,0.04098303879677288,321.7949814619285,0.9212676013157821,0.06067679077386856,,PRUNED
37,0.05953042581677437,2025-08-29 02:27:55.240941,2025-08-29 02:29:48.668939,0 days 00:01:53.427998,0.5276999831350794,0.5487939940425938,0.9368056683580357,0.010473183106142692,1.624269729365034e-08,depthwise,265,9,,67.77341665473556,,0.12237574114463594,0.35455990551184,0.8475145950499753,0.057948242872953415,0.060555677860975266,COMPLETE
38,0.05954749509692192,2025-08-29 02:29:48.691331,2025-08-29 02:34:08.579377,0 days 00:04:19.888046,0.5613763005101254,0.5905660400223873,0.996924802335309,0.003158007065747369,6.839970456081932e-07,depthwise,235,9,,34.64696936232048,,0.07545890775190246,0.47841321140533766,0.7538017038826852,0.05796258896589279,0.06058354303240776,COMPLETE
39,0.059531498700380325,2025-08-29 02:34:08.604761,2025-08-29 02:38:25.785948,0 days 00:04:17.181187,0.5379537471080514,0.58825838699369,0.9258150008741078,0.003933879453341799,1.587043431038959e-08,depthwise,338,9,,44.381102330627435,,0.5297241580104384,0.5125769056182173,0.7574962372532951,0.0605822317302227,,COMPLETE
40,0.05954008176922798,2025-08-29 02:38:25.810536,2025-08-29 02:43:41.490947,0 days 00:05:15.680411,0.5170553252057278,0.5292185932513882,0.9908495399602871,0.0025597777597085383,1.2338352707492744e-07,depthwise,244,11,,25.110973443557548,,0.9293195409802297,0.23271331992788696,0.6918799690467906,0.05796050652861595,0.06056253984570503,COMPLETE
